therapeutic_or_preventive_procedure	measures	element_ion_or_isotope
neuroreactive_substance_or_biogenic_amine	causes	sign_or_symptom
therapeutic_or_preventive_procedure	complicates	environmental_effect_of_humans
cell_or_molecular_dysfunction	complicates	inorganic_chemical
cell_or_molecular_dysfunction	produces	geographic_area
mental_or_behavioral_dysfunction	interacts_with	food
hazardous_or_poisonous_substance	occurs_in	human_caused_phenomenon_or_process
therapeutic_or_preventive_procedure	associated_with	chemical_viewed_structurally
therapeutic_or_preventive_procedure	result_of	therapeutic_or_preventive_procedure
therapeutic_or_preventive_procedure	manifestation_of	cell
therapeutic_or_preventive_procedure	isa	hazardous_or_poisonous_substance
hazardous_or_poisonous_substance	location_of	body_part_organ_or_organ_component
neuroreactive_substance_or_biogenic_amine	process_of	population_group
neuroreactive_substance_or_biogenic_amine	affects	research_device
therapeutic_or_preventive_procedure	part_of	body_part_organ_or_organ_component
nucleic_acid_nucleoside_or_nucleotide	complicates	therapeutic_or_preventive_procedure
nucleic_acid_nucleoside_or_nucleotide	performs	biomedical_or_dental_material
therapeutic_or_preventive_procedure	affects	educational_activity
therapeutic_or_preventive_procedure	isa	intellectual_product
neuroreactive_substance_or_biogenic_amine	isa	medical_device
neuroreactive_substance_or_biogenic_amine	interacts_with	indicator_reagent_or_diagnostic_aid
neuroreactive_substance_or_biogenic_amine	process_of	chemical_viewed_structurally
natural_phenomenon_or_process	interacts_with	neuroreactive_substance_or_biogenic_amine
hazardous_or_poisonous_substance	affects	cell_or_molecular_dysfunction
mental_or_behavioral_dysfunction	complicates	temporal_concept
organization	part_of	cell_or_molecular_dysfunction
cell_or_molecular_dysfunction	result_of	nucleic_acid_nucleoside_or_nucleotide
nucleic_acid_nucleoside_or_nucleotide	process_of	phenomenon_or_process
mental_or_behavioral_dysfunction	interacts_with	natural_phenomenon_or_process
hazardous_or_poisonous_substance	associated_with	neuroreactive_substance_or_biogenic_amine
amino_acid_peptide_or_protein	result_of	regulation_or_law
body_part_organ_or_organ_component	affects	carbohydrate_sequence
environmental_effect_of_humans	measurement_of	neuroreactive_substance_or_biogenic_amine
research_device	measures	mental_or_behavioral_dysfunction
cell_or_molecular_dysfunction	property_of	biologically_active_substance
cell_or_molecular_dysfunction	process_of	professional_or_occupational_group
experimental_model_of_disease	result_of	social_behavior
cell_or_molecular_dysfunction	associated_with	organism_attribute
rickettsia_or_chlamydia	treats	cell_or_molecular_dysfunction
cell_function	causes	cell_or_molecular_dysfunction
mental_or_behavioral_dysfunction	result_of	phenomenon_or_process
therapeutic_or_preventive_procedure	isa	organ_or_tissue_function
research_device	co-occurs_with	cell_or_molecular_dysfunction
embryonic_structure	produces	rickettsia_or_chlamydia
cell_or_molecular_dysfunction	location_of	molecular_biology_research_technique
nucleic_acid_nucleoside_or_nucleotide	result_of	governmental_or_regulatory_activity
mammal	interacts_with	cell_or_molecular_dysfunction
nucleic_acid_nucleoside_or_nucleotide	manifestation_of	event
neuroreactive_substance_or_biogenic_amine	causes	bird
nucleic_acid_nucleoside_or_nucleotide	location_of	cell_component
cell_or_molecular_dysfunction	isa	manufactured_object
environmental_effect_of_humans	associated_with	phenomenon_or_process
cell_or_molecular_dysfunction	associated_with	cell_component
therapeutic_or_preventive_procedure	isa	intellectual_product
amino_acid_peptide_or_protein	affects	environmental_effect_of_humans
hazardous_or_poisonous_substance	occurs_in	rickettsia_or_chlamydia
amino_acid_peptide_or_protein	result_of	cell_or_molecular_dysfunction
neuroreactive_substance_or_biogenic_amine	result_of	family_group
therapeutic_or_preventive_procedure	uses	fully_formed_anatomical_structure
cell_or_molecular_dysfunction	uses	rickettsia_or_chlamydia
fully_formed_anatomical_structure	isa	body_location_or_region
neuroreactive_substance_or_biogenic_amine	process_of	population_group
mental_or_behavioral_dysfunction	affects	self_help_or_relief_organization
therapeutic_or_preventive_procedure	affects	laboratory_procedure
molecular_sequence	isa	rickettsia_or_chlamydia
nucleic_acid_nucleoside_or_nucleotide	causes	lipid
body_location_or_region	isa	neuroreactive_substance_or_biogenic_amine
neuroreactive_substance_or_biogenic_amine	manifestation_of	activity
body_part_organ_or_organ_component	result_of	research_device
mental_or_behavioral_dysfunction	result_of	environmental_effect_of_humans
laboratory_or_test_result	causes	cell_or_molecular_dysfunction
neuroreactive_substance_or_biogenic_amine	affects	substance
cell_or_molecular_dysfunction	location_of	therapeutic_or_preventive_procedure
group_attribute	affects	cell_or_molecular_dysfunction
natural_phenomenon_or_process	affects	natural_phenomenon_or_process
hazardous_or_poisonous_substance	isa	classification
therapeutic_or_preventive_procedure	evaluation_of	cell_or_molecular_dysfunction
therapeutic_or_preventive_procedure	performs	archaeon
clinical_drug	measures	biomedical_occupation_or_discipline
chemical	process_of	cell_or_molecular_dysfunction
disease_or_syndrome	result_of	organism_attribute
experimental_model_of_disease	issue_in	environmental_effect_of_humans
natural_phenomenon_or_process	interacts_with	neuroreactive_substance_or_biogenic_amine
mental_or_behavioral_dysfunction	disrupts	amino_acid_peptide_or_protein
neuroreactive_substance_or_biogenic_amine	occurs_in	clinical_drug
mental_or_behavioral_dysfunction	isa	spatial_concept
occupation_or_discipline	affects	experimental_model_of_disease
experimental_model_of_disease	causes	natural_phenomenon_or_process
phenomenon_or_process	affects	biomedical_occupation_or_discipline
classification	complicates	biomedical_occupation_or_discipline
cell_or_molecular_dysfunction	measures	cell_or_molecular_dysfunction
neuroreactive_substance_or_biogenic_amine	complicates	patient_or_disabled_group
bird	evaluation_of	biomedical_occupation_or_discipline
cell_or_molecular_dysfunction	manifestation_of	natural_phenomenon_or_process
disease_or_syndrome	location_of	machine_activity
